codigo_ocorrencia;codigo_ocorrencia1;codigo_ocorrencia2;ocorrencia_classificacao;ocorrencia_cidade;ocorrencia_uf;ocorrencia_pais;ocorrencia_aerodromo;ocorrencia_dia;ocorrencia_hora;total_recomendacoes
39386;39386;39386;INCIDENTE;SÃO PAULO;SP;BRASIL;****;18/02/2010;10:10:00;0
40325;40325;40325;INCIDENTE GRAVE;EXU;PE;BRASIL;****;19/02/2010;10:20:00;0
39385;39385;39385;INCIDENTE GRAVE;BRASÍLIA;DF;BRASIL;SBBR;21/02/2010;17:00:00;1
39988;39988;39988;INCIDENTE;CURITIBA;PR;BRASIL;SBBI;22/02/2010;16:00:00;0
40318;40318;40318;INCIDENTE;JUIZ DE FORA;MG;BRASIL;****;22/02/2010;13:47:00;0
39727;39727;39727;INCIDENTE GRAVE;VÁRZEA GRANDE;MT;BRASIL;SBCY;23/02/2010;19:42:00;0
39317;39317;39317;ACIDENTE;RIO VERDE;GO;BRASIL;SWLC;24/02/2010;13:00:00;0
39987;39987;39987;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;SBJR;24/02/2010;19:37:00;0
41181;41181;41181;INCIDENTE;CASCAVEL;PR;BRASIL;SBCA;25/02/2010;11:17:00;0
39933;39933;39933;ACIDENTE;BELO HORIZONTE;MG;BRASIL;****;26/02/2010;11:19:00;1
40296;40296;40296;INCIDENTE;CURITIBA;PR;BRASIL;****;26/02/2010;22:32:00;0
40316;40316;40316;INCIDENTE GRAVE;TIMÓTEO;MG;BRASIL;****;26/02/2010;14:40:00;3
40331;40331;40331;INCIDENTE;CAMPINAS;SP;BRASIL;****;28/02/2010;09:00:00;0
40314;40314;40314;INCIDENTE;SÃO PAULO;SP;BRASIL;****;04/03/2010;23:50:00;0
39916;39916;39916;INCIDENTE GRAVE;MANAUS;AM;BRASIL;SBEG;07/03/2010;19:35:00;2
39910;39910;39910;INCIDENTE;GUARULHOS;SP;BRASIL;SBGR;08/03/2010;00:49:00;0
39887;39887;39887;ACIDENTE;BELO HORIZONTE;MG;BRASIL;SBPR;09/03/2010;17:45:00;1
39914;39914;39914;INCIDENTE;LONDRINA;PR;BRASIL;SBLO;09/03/2010;21:00:00;0
40312;40312;40312;INCIDENTE;CAMPOS DOS GOYTACAZES;RJ;BRASIL;****;09/03/2010;19:18:00;0
39913;39913;39913;INCIDENTE GRAVE;RIO BRANCO;AC;BRASIL;SBRB;10/03/2010;06:17:00;3
40150;40150;40150;INCIDENTE GRAVE;SANTA MARIA;RS;BRASIL;SBSM;10/03/2010;17:20:00;0
40273;40273;40273;INCIDENTE;RIO BRANCO;AC;BRASIL;SBRB;10/03/2010;14:30:00;0
39993;39993;39993;INCIDENTE GRAVE;LONDRINA;PR;BRASIL;SBLO;11/03/2010;12:30:00;2
41986;41986;41986;INCIDENTE;GUARULHOS;SP;BRASIL;SBGR;11/03/2010;03:00:00;0
40260;40260;40260;INCIDENTE;BELO HORIZONTE;MG;BRASIL;****;12/03/2010;18:10:00;0
41988;41988;41988;INCIDENTE;SÃO JOSÉ DOS PINHAIS;PR;BRASIL;SBCT;12/03/2010;03:00:00;0
40027;40027;40027;INCIDENTE;BLUMENAU;SC;BRASIL;SSBL;15/03/2010;21:05:00;0
40320;40320;40320;INCIDENTE;GUARULHOS;SP;BRASIL;SBGR;15/03/2010;09:57:00;0
40322;40322;40322;INCIDENTE;BELÉM;PA;BRASIL;SBJC;15/03/2010;18:15:00;0
40307;40307;40307;INCIDENTE;BELÉM;PA;BRASIL;SBJC;16/03/2010;20:00:00;0
40168;40168;40168;INCIDENTE;MONTES CLAROS;MG;BRASIL;SBMK;17/03/2010;01:34:00;0
40329;40329;40329;INCIDENTE;SÃO PAULO;SP;BRASIL;SBSP;18/03/2010;12:10:00;0
41998;41998;41998;INCIDENTE;CONFINS;MG;BRASIL;SBCF;18/03/2010;13:37:00;0
41999;41999;41999;INCIDENTE;GUARULHOS;SP;BRASIL;SBGR;18/03/2010;03:00:00;0
40088;40088;40088;ACIDENTE;UIRAMUTÃ;RR;BRASIL;****;19/03/2010;13:10:00;3
40148;40148;40148;ACIDENTE;CAMPO GRANDE;MS;BRASIL;****;19/03/2010;19:30:00;1
40170;40170;40170;INCIDENTE;MANAUS;AM;BRASIL;SBEG;20/03/2010;11:00:00;0
40210;40210;40210;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;SBJR;20/03/2010;20:02:00;0
40212;40212;40212;INCIDENTE;UBERLÂNDIA;MG;BRASIL;SBUL;20/03/2010;12:14:00;0
40332;40332;40332;INCIDENTE;MACAÉ;RJ;BRASIL;****;20/03/2010;21:58:00;0
40149;40149;40149;ACIDENTE;LUZIÂNIA;GO;BRASIL;SWUZ;21/03/2010;20:45:00;2
40209;40209;40209;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;SBJR;21/03/2010;13:46:00;0
41939;41939;41939;INCIDENTE;CONFINS;MG;BRASIL;SBCF;22/03/2010;03:00:00;0
40330;40330;40330;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;****;24/03/2010;11:35:00;0
42781;42781;42781;INCIDENTE;GUARULHOS;SP;BRASIL;SBGR;25/03/2010;03:00:00;0
40087;40087;40087;ACIDENTE;ANÁPOLIS;GO;BRASIL;SWNS;26/03/2010;10:45:00;4
40089;40089;40089;ACIDENTE;VILA BELA DA SANTÍSSIMA TRINDADE;MT;BRASIL;****;28/03/2010;15:10:00;0
40827;40827;40827;INCIDENTE;PENÁPOLIS;SP;BRASIL;****;30/03/2010;20:45:00;0
40287;40287;40287;INCIDENTE;ITAJAÍ;SC;BRASIL;****;31/03/2010;13:00:00;0
40326;40326;40326;INCIDENTE;RECIFE;PE;BRASIL;****;31/03/2010;15:20:00;0
40288;40288;40288;INCIDENTE;FORTALEZA;CE;BRASIL;SBFZ;01/04/2010;13:16:00;0
40275;40275;40275;INCIDENTE;BRASÍLIA;DF;BRASIL;SBBR;02/04/2010;18:15:00;0
40291;40291;40291;INCIDENTE;CONFINS;MG;BRASIL;SBCF;03/04/2010;20:25:00;0
40251;40251;40251;INCIDENTE;FLORIANÓPOLIS;SC;BRASIL;****;04/04/2010;17:00:00;0
40267;40267;40267;INCIDENTE GRAVE;VERA CRUZ;BA;BRASIL;SNVR;04/04/2010;11:00:00;2
40190;40190;40190;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;SBGL;06/04/2010;02:35:00;3
40171;40171;40171;ACIDENTE;PORTO NACIONAL;TO;BRASIL;SBPN;07/04/2010;18:45:00;2
40269;40269;40269;INCIDENTE GRAVE;ANÁPOLIS;GO;BRASIL;SWNS;07/04/2010;19:30:00;1
40147;40147;40147;ACIDENTE;UNIÃO DA VITÓRIA;PR;BRASIL;SSUV;08/04/2010;14:20:00;3
40250;40250;40250;ACIDENTE;LUZIÂNIA;GO;BRASIL;****;08/04/2010;20:00:00;0
40292;40292;40292;INCIDENTE;CAMPINAS;SP;BRASIL;SBKP;08/04/2010;20:30:00;0
40213;40213;40213;INCIDENTE GRAVE;GOIÂNIA;GO;BRASIL;SBNV;09/04/2010;21:00:00;1
40295;40295;40295;INCIDENTE;RIO BRANCO;AC;BRASIL;SBRB;11/04/2010;19:20:00;0
40214;40214;40214;ACIDENTE;REDENÇÃO;PA;BRASIL;****;12/04/2010;19:30:00;1
40227;40227;40227;INCIDENTE;AREALVA;SP;BRASIL;****;12/04/2010;14:03:00;0
40228;40228;40228;INCIDENTE;SÃO JOSÉ DOS CAMPOS;SP;BRASIL;SBSJ;12/04/2010;17:17:00;0
40258;40258;40258;INCIDENTE;MONTE ALEGRE;PA;BRASIL;****;12/04/2010;18:10:00;0
40327;40327;40327;INCIDENTE;PORTO ALEGRE;RS;BRASIL;****;12/04/2010;13:13:00;0
40826;40826;40826;INCIDENTE;MARÍLIA;SP;BRASIL;SBML;12/04/2010;13:00:00;0
40248;40248;40248;INCIDENTE;PORTO ALEGRE;RS;BRASIL;SBPA;13/04/2010;18:47:00;0
40262;40262;40262;INCIDENTE;SÃO PAULO;SP;BRASIL;SBSP;14/04/2010;01:42:00;0
40261;40261;40261;INCIDENTE;MACAÉ;RJ;BRASIL;SBME;15/04/2010;13:10:00;0
40270;40270;40270;INCIDENTE GRAVE;PIRASSUNUNGA;SP;BRASIL;SDPY;15/04/2010;20:15:00;0
40323;40323;40323;INCIDENTE;SÃO PAULO;SP;BRASIL;****;15/04/2010;20:20:00;0
40328;40328;40328;ACIDENTE;CORRENTINA;BA;BRASIL;****;15/04/2010;17:25:00;0
40294;40294;40294;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;****;16/04/2010;20:00:00;0
40352;40352;40352;INCIDENTE;CUIABÁ;MT;BRASIL;****;16/04/2010;20:50:00;0
40412;40412;40412;ACIDENTE;MACAPÁ;AP;BRASIL;****;16/04/2010;21:55:00;0
40247;40247;40247;INCIDENTE;FLORIANÓPOLIS;SC;BRASIL;SBFL;17/04/2010;23:30:00;0
40350;40350;40350;INCIDENTE GRAVE;UIRAMUTÃ;RR;BRASIL;****;17/04/2010;20:30:00;0
40293;40293;40293;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;SBJR;18/04/2010;16:23:00;0
40413;40413;40413;INCIDENTE;MACAÉ;RJ;BRASIL;SBME;18/04/2010;18:25:00;0
40264;40264;40264;ACIDENTE;CAMPO VERDE;MT;BRASIL;SWOZ;20/04/2010;16:30:00;2
